The coloring,Le teint,"He was broad, with his mother's coloring",N
To cradle,"Entourer, bercer",He was cradling something in his arms,V
To cling to,"S'accrocher, s'agripper",He clung to his arm.,V
To cleanse,"Purifier, nettoyer, purger, assainir",The police want to cleanse the city of crime,V
A clatter,"Le cliquetis, le bruit, le fracas",We heard a clatter of metal down the stairs.,N
To crowd,"Encombrer, entasser, bousculer",Customers crowd the streets on black Friday,V
A crib,"Berceau, créche, lit de bébé, copier, plagier",Don't start to telling me crib tales !,N
Coiled,"Torsadé, enroulé, boudiné","Hey, could you fetch the coiled wire for me please ?",A
A chattel,"Un bien mobilier, un objet mobilier","At some point in History, women were considered as chattels",N
Coarse,"Grossier, brut, épais",Precious gems are usually exctracted from coarse minerals,A
A crannog,"Ile artificielle créee sur un lac, en Ecosse",Never saw or heard about a goddamn crannog in my life !,N
To clasp,"Serrer, étreindre, agrafer",She clasped her hands on the tiny piece of paper,V
A clangor,Un fracas,"It was impossible to hear anything, with the clangor of horns outside",N
A cur,"Un con, un bâtard",I ended up hanging with these street curs I hate so much,N
A crag,Un rocher,Be careful to not hurt you with the crags when you swim,N
A courtesy,"Une courtoisie, une civilité",She felt like she didn't want to exchange courtesies anymore and left,N
To cock,"Armer, pencher une partie de son corps","He cocked his head to one side, doubtfully",V
Capering,"Faire le mariole, faire des aneries",He started to act like a capering fool to make his friends laugh,A
To chafe,"Frotter, user, irriter",This old rusty pipe was all chafed but yet perfect for this occasion,V
Crooked,"Tordu, tortueux, malhonnete",It didn't take me too long to realize how crooked was the police here,A
To coo,"Roucouler, gazouiller",Spring is the time where you can see all the couples cooing in gardens and parks,V
A contempt,"Un mépris, un outrage, un dédain",The current policy shows deep contempt for women,N
Charred,"Carbonisé, grillé","The room was filled with charred bodies, awfully smelling.",A
Corkscrew,Un tire bouchon,You got to hold and turn the corkscrew clockwise to open the bottle,N
To curdle,Cailler,Her smile curdled just like sour milk does,V
Cinched,"Cintré, serré",His cloak was cinched around his waist with a fabric belt,A
To crest,Atteindre le sommet de,"The train crested the hills at high speed, as if it was chased by something",V
A coffer,"Un coffre, une caisse","There's enough money in the government's coffers, they just don't want to spend it",N
A cowherd,"Eleveur, vacher, bouvier","Cowherds really have an exhausting job, but seem to enjoy it anyway",N
A commotion,"Un vacarme, l'agitation, l""émoi, la confusion, le désordre, le trouble",The commotion around all the president's new dog is so silly,N
