Word,Meaning,Exemple,Type
Antler,Bois ( animal ) ,Deer use their large antlers to fight.,N
Airy,"Aéré, spacieux","What a nice, very airy room !",A
Acre,Un acre de terre ( 1 acre = 4046m2 ),Those woods were 3 acres large before the latest fire,N
Anoint,"Enduire d'une matière grasse, oindre",I anointed with oil the piece of metal to make it slippery,V
Admist,Au milieu de ,I grew up in the small cottage located amidst rivers,A
Awe,"Admiration, emerveillement, stupeur, terreur",I'm full of awe for people who always follow and success in their dream,N
Abide,"Soutenir, se conformer à, respecter, demeurer",You have no other choice than to abide by our rules,V
Averted,"Detourné, évité, prévenu",He went on the murder scene with averted eyes ,A
Adder,Une vipère,"This family is a real adder nest, stay away from them",N
Anguished,Angoissé,All the people were extremely anguished and unable to make reasonable decisions,A
Abashed,"Decontenancé, géné, deconcerté, embarassé","Don't felt abashed by the first bad grade you got, and try to remain focus",A
Astride,"A califourchon, à cheval",She climbed on top of the tree and sat astride the biggest branch,A
Summon,"Une convocation, une acte de comparution",I couldn't take my eyes off the summon I just received this morning,N
Axle,"Un éssieu, un axe, un moyeu","He aimed for our rear wheel, and the arrow hit and broke its axle into pieces",N
Aloof,"A distance, distant, reservé","Remained aloof until now, the bald man began to speak",A
Alas,Hélas,"There isn't, alas, enough food for us all, so bring the weak ones first ! ",A
Appease,"Apaiser, calmer, amadouer, rassurer","As the wolf was living his last moments, i wanted to appease him the best I could",V
Accomodation,"Un hébergment, un logement, un arrangement, un compromis",There is a time for all of us to find a rental accomodation in order to make a family,N
Arbor,"Une tonnelle, un mandrin, un longeron","Guests were allowed to rest under their personal arbors, when we had to sleep in the hay",N
Abreast,"Au courant, de front, côte à côte","They rode abreast, hearing each other to keep abreast of the last news",A
Admonition,"Un avertissement, une mise en garde, une remontrance",To see Mrs Robes frowning was a sufficient admonition to make them not wanting to do it again,N
Ahorse,A cheval,"I was ahorse all day, and now I began to feel my back ache",A
Aghast,"Atteré, consterné, horrifié, sidéré, effaré, outré, renversé",How on earth could you say this to me and expect me to not be aghast ?,A
Amiss,"De travers, qui ne va pas, qui cloche","I was no wizard myself, but I too, could sense something amiss in the old library",A
Alder,Un aulne,The big alder in the park was our hideout since we were 7 years old,N
Asunder,"En morceaux, éloignés",The papers were already ruined and torned asunder when we got into the room,A
Aglow,"Lumineuse, qui irradie de la lumière","Far far away, the good old city we left was aglow in the distance",A
Apron,"Un tablier, le tarmac, l'avant-scène","The bartender removed her apron, revealing appealing curves I hadnt noticed yet",N
Aspen,Un peuplier tremble,The path lead us to a mysterious lake bordered with aspens and oaks,N
Brooding,Une couvaison,The brooding process of birds usually takes place in the nests.,N
Brooding,"Sombre, broyant du noir, troublant","There was standing the Wraith, casting his brooding shadow around him.",A
Boast ,"Se vanter, se glorifier, fanfaronner",I can boast being one of the freshest men on this planet,V
Budding,"Naissant, bourgeonnant, en herbe","Best budding skateboarders often fall, but they don't give up",A
Bellow,"Braire, beugler, mugir, brailler",The leader put an end to all the bellowing revendications.,V
Blurt out,Laisser échapper,I often blurt things out that I shouldn't,V
Buttocks,"Fesses, fessiers, derrière, postérieur",My dad used to kick me in the buttocks when if did something wrong,N
Betrothal,Des fiançailles,Betrothal ceremonies are for me the least enjoyable ones,N
Bare,"Découvrir, mettre à nu, dénuder, dévoiler","The wolf was now afire with anger, baring his fangs.",V
Bawdy,"Paillard, grivois, de débauche",Long time no see any bawdy houses in towns,A
Bluster,"Fanfaronner, fulminer, se dechainer, intimider","When he started blustering about the battle, I stopped listening him",V
Blaze,"Flamboyer, flamber","She was looking at the fire, gazing onto the flames that blaze brightly",V
Breed,"Elever, se reproduire, éduquer",She was too well bred to answer such question in rude terms ,V
Bout,"Un assaut, un combat, un accès, une quinte",My buttocks were still aching from the last bout I had with Sir Random,N
Bristle,"Un poil, un brin, la soie",You can remove the dust located in the folds with a tiny bristle brush,N
Blot out,"Effacer, masquer, cacher","Lord, forgive our sins, blot out from our fears and enlight us",V
Briskly,"Rapidement, énergiquement, brusquement",I briskly opened the door to see what was going on in the living-room,A
Berate,"Réprimander, invectiver, fustiger","Ashamed of beign berated by his grandmother, he ran off into his bedroom",V
Bristle,"Se herisser, vibrer","Soon as the power came back, the wires bristled with energy",V
Burly,"Costaud, robuste","A burly man stood up at the door, his gigantic arms crossed on his chest",A
Barrow,"Une brouette, un tumulus",She lifted the barrow which was full of logs and sticks and carried it back home,N
Bicker,"Se chicaner, se chamailler",Hey ! I thought that we would never bicker again about this matter !,V
Beggar,"Un mendiant, un clochard, un gueux",Streets full of beggars and back alleys filled with junkies are usual things here,N
Brier,"La bruyère, une ronce, un églantier","The necklace was there, entangled in a thick black brier",N
Befit,"Convenir à, répondre à","As befit an old man, the gatekeeper was grumpy, slow and wrinkled.",V
Beget,"Engendrer, entrainer, causer",You are at an age where it is time for you to beget a child or two,V
Bailey,Une basse-cour,"From her window, she saw a bunch of people gathering in the bailey",N
Bidding,"Une offre, une enchère, un impératif",Nothing better than a bidding process to hire the most qualified team,N
Brittle,"Cassant, fragile, friable",Clumsy hands and brittle objects are a classic duo in comedy movies,A
Bale,Un ballot,The farmer waited until the hay was dry enough to store them in bales,N
Befoul,Souiller,"Our orders were to corrupt you, to make you befoul your own image",V
Barbican,Une barbacane ( espace avancé muni de meurtrières ),"Soldiers kept rushing in the barbicans, preparing themselves for the incoming fight",N
Bustle,"Le tumulte, l'agitation, l'effervescence, la frénésie","This city is well known for its constant bustle, day or night you can't sleep in here !",N
Bodice,"Un corsage, un corset",She wore her silk and leather bodice and asked the maid to tighten it,N
Barley,L'orge,Barley is one the main ingredients in beer,N
Bluff,"Un bluff, un escarpement, une falaise, un promontoire",The thief's hideout was located in a rock bluff to the east,N
Beady,"Petits et brillants, malicieux",I looked down and saw her beady eyes lurking in the dark,A
Bleak,"Sombre, austère, morose, incertain, lugubre, morne","A bleak atmosphere was suddenly filling the room, tensing my senses",A
Behold,"Voir, contempler, admirer, regarder",I used to behold a beautiful lady in my dreams since I was a kid,V
Bracing,Fortifiant,"When I got out of the tunnel, the first thing that struck me was the bracing air around me",A
Bemused,"Stupéfié, perplexe, dérouté, déconcerté","I was extremely bemused of this proposal at first, but the more I thought of it, the more I liked it",A
Boon,"Un bienfait, une bénédiction, un avantage",What a boon it is to have you among us ! I'm glad we rescued you in the first time,N
Brindled,"Bringé, tigré","He was wearing a thick black fur cloak, brindled with gold and blue",A
Belch,"Roter, cracher, éructer","The strange flower was belching a thick gaz from time to time, which smelled marvellously good",V
Blithely,Joyeusement,"Look, we cannot avoid doing it, so we'd better take it and do it blithely, don't you think ?",A
Botch,Bâcler,"Apparently willing to botch his own work, the carpenter began to hammer the whole structure",V
Billow,"Onduler, tourbillonner",A billowing flag was standing on the top of the highest tower,V
Buxom,"Plantureuse, aux formes généreuses","In some street, buxom women were trying to attact men into whorehouses",A
Bosom,"Le sein, le giron, la poitrine","Soon as he gets close to his mother’s bosom, the kid stopped crying and opened his mouth ",N
Blunder,"Une gaffe, une maladresse","With this guy, you can expect witnessing to at least one blunder the hour",N
Bay,Un laurier,"This recipe could do good use of a hint of bay leaves, don't you think ?",N
Coloring,Le teint,"He was broad, with his mother's coloring",N
Cradle,"Entourer, bercer",He was cradling something in his arms,V
Cling to,"S'accrocher, s'agripper",He clung to his arm.,V
Cleanse,"Purifier, nettoyer, purger, assainir",The police want to cleanse the city of crime,V
Clatter,"Le cliquetis, le bruit, le fracas",We heard a clatter of metal down the stairs.,N
Crowd,"Encombrer, entasser, bousculer",Customers crowd the streets on black Friday,V
Crib,"Berceau, créche, lit de bébé, copier, plagier",Don't start to telling me crib tales !,N
Coiled,"Torsadé, enroulé, boudiné","Hey, could you fetch the coiled wire for me please ?",A
Chattel,"Un bien mobilier, un objet mobilier","At some point in History, women were considered as chattels",N
Coarse,"Grossier, brut, épais",Precious gems are usually exctracted from coarse minerals,A
Crannog,"Ile artificielle créee sur un lac, en Ecosse",Never saw or heard about a goddamn crannog in my life !,N
Clasp,"Serrer, étreindre, agrafer",She clasped her hands on the tiny piece of paper,V
Clangor,Un fracas,"It was impossible to hear anything, with the clangor of horns outside",N
Cur,"Un con, un bâtard",I ended up hanging with these street curs I hate so much,N
Crag,Un rocher,Be careful to not hurt you with the crags when you swim,N
Courtesy,"Une courtoisie, une civilité",She felt like she didn't want to exchange courtesies anymore and left,N
Cock,"Armer, pencher une partie de son corps","He cocked his head to one side, doubtfully",V
Capering,"Faire le mariole, faire des aneries",He started to act like a capering fool to make his friends laugh,A
Chafe,"Frotter, user, irriter",This old rusty pipe was all chafed but yet perfect for this occasion,V
Crooked,"Tordu, tortueux, malhonnete",It didn't take me too long to realize how crooked was the police here,A
Coo,"Roucouler, gazouiller",Spring is the time where you can see all the couples cooing in gardens and parks,V
Contempt,"Un mépris, un outrage, un dédain",The current policy shows deep contempt for women,N
Charred,"Carbonisé, grillé","The room was filled with charred bodies, awfully smelling.",A
Corkscrew,Un tire bouchon,You got to hold and turn the corkscrew clockwise to open the bottle,N
Curdle,Cailler,Her smile curdled just like sour milk does,V
Cinched,"Cintré, serré",His cloak was cinched around his waist with a fabric belt,A
Crest,Atteindre le sommet de,"The train crested the hills at high speed, as if it was chased by something",V
Coffer,"Un coffre, une caisse","There's enough money in the government's coffers, they just don't want to spend it",N
Cowherd,"Eleveur, vacher, bouvier","Cowherds really have an exhausting job, but seem to enjoy it anyway",N
